City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Dikson,RU,2021-09-29 04:22:00,73.5069,80.5464,36.59,94,100,13.65
144,Fairbanks,US,2021-09-29 04:19:43,64.8378,-147.7164,30.6,72,20,0.0
145,Arraial Do Cabo,BR,2021-09-29 04:21:19,-22.9661,-42.0278,70.57,91,10,22.28
146,Zdvinsk,RU,2021-09-29 04:24:09,54.7021,78.661,39.63,77,100,15.79
147,Jalu,LY,2021-09-29 04:24:10,29.0331,21.5482,69.98,64,0,7.54
148,Birnin Kebbi,NG,2021-09-29 04:24:10,12.4539,4.1975,78.12,72,50,5.99
149,Yar-Sale,RU,2021-09-29 04:24:10,66.8333,70.8333,38.79,76,100,5.93
150,Koumac,NC,2021-09-29 04:24:11,-20.5667,164.2833,73.99,73,95,10.18
151,Yellowknife,CA,2021-09-29 04:16:35,62.456,-114.3525,47.41,100,1,1.01
152,Cayenne,GF,2021-09-29 04:22:10,4.9333,-52.3333,83.08,79,0,1.99
153,Steamboat Springs,US,2021-09-29 04:22:46,40.485,-106.8317,51.94,93,90,4.61
154,Ponta Do Sol,PT,2021-09-29 04:20:52,32.6667,-17.1,72.72,77,67,7.27
155,Arlit,NE,2021-09-29 04:24:12,18.7369,7.3853,85.8,24,34,8.12
156,Faanui,PF,2021-09-29 04:22:34,-16.4833,-151.75,78.87,76,21,15.9
157,Saint-Joseph,RE,2021-09-29 04:24:12,-21.3667,55.6167,73.78,72,45,8.55
158,Vredendal,ZA,2021-09-29 04:24:13,-31.6683,18.5012,50.68,87,0,1.48
159,Bull Savanna,JM,2021-09-29 04:24:13,17.8868,-77.5902,77.2,83,8,4.03
160,Soma,TR,2021-09-29 04:24:13,39.1855,27.6094,62.78,90,80,9.24
161,Vao,NC,2021-09-29 04:21:28,-22.6667,167.4833,68.85,76,11,22.28
162,Tuktoyaktuk,CA,2021-09-29 04:20:57,69.4541,-133.0374,33.8,100,90,10.36
163,Siyabuswa,ZA,2021-09-29 04:22:00,-25.1132,29.0445,66.42,47,4,5.39
164,Beloha,MG,2021-09-29 04:24:14,-25.1667,45.05,73.65,51,60,3.96
165,Goderich,CA,2021-09-29 04:17:27,43.7501,-81.7165,52.12,82,58,4.61
166,Alta Floresta,BR,2021-09-29 04:22:29,-9.8756,-56.0861,69.12,97,68,3.85
167,Moose Factory,CA,2021-09-29 04:24:15,51.2585,-80.6094,44.6,93,90,5.75
168,Rudnogorsk,RU,2021-09-29 04:24:15,57.2639,103.7519,37.71,77,99,4.52
169,Marshall,US,2021-09-29 04:24:16,34.3834,-86.3333,69.49,82,1,0.0
170,Najran,SA,2021-09-29 04:24:16,17.4924,44.1277,74.05,32,24,5.28
171,Olinda,BR,2021-09-29 04:24:17,-8.0089,-34.8553,74.93,83,75,6.91
172,Cotusca,RO,2021-09-29 04:24:17,48.1333,26.85,55.54,62,100,8.21
