City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
624,Graaff-Reinet,ZA,50.5,clear sky,-32.2522,24.5308,Graaff-Reinet
625,Thunder Bay,CA,50.29,clear sky,48.4001,-89.3168,Thunder Bay
627,Kerman,IR,71.46,clear sky,30.2832,57.0788,Kerman
628,Gravelbourg,CA,53.87,clear sky,49.8834,-106.5512,Gravelbourg
632,Serenje,ZM,71.76,overcast clouds,-13.2325,30.2352,Serenje
634,Roald,NO,56.34,scattered clouds,62.5833,6.1333,Roald
637,Laguna De Duero,ES,57.99,overcast clouds,41.5815,-4.7233,Valladolid
640,Leeuwarden,NL,52.99,scattered clouds,53.2014,5.8086,Leeuwarden
648,Idlib,SY,69.19,clear sky,35.9306,36.6339,Idlib
649,Jiuquan,CN,59.56,broken clouds,39.7432,98.5174,Jiuquan
650,Wencheng,CN,56.98,overcast clouds,33.0559,113.7978,Zhumadian
651,Santander,ES,62.71,light intensity drizzle,43.4647,-3.8044,Santander
658,Alta Floresta,BR,69.69,light rain,-9.8756,-56.0861,Alta Floresta
660,Kampene,CD,74.57,overcast clouds,-3.6,26.6667,Kampene
663,Altay,CN,49.62,broken clouds,47.8667,88.1167,Altay Prefecture
665,Jucas,BR,73.02,broken clouds,-6.5253,-39.5275,Jucás
666,Nur,PL,50.79,broken clouds,52.6683,22.3221,Nur
668,Alcudia,ES,59.38,clear sky,39.8532,3.1214,Alcúdia
669,Moen,NO,51.87,broken clouds,69.1304,18.6123,Bardufoss
670,Calama,CL,50.58,clear sky,-22.4667,-68.9333,Calama
675,Sanmenxia,CN,55.98,overcast clouds,34.7747,111.1814,Yuncheng
676,Sao Jose Da Coroa Grande,BR,73.81,broken clouds,-8.8978,-35.1478,São José da Coroa Grande
677,Letnyaya Stavka,RU,48.06,moderate rain,45.4306,43.4472,Letnyaya Stavka
679,Plettenberg Bay,ZA,57.94,clear sky,-34.0527,23.3716,Plettenberg Bay
686,Ayan,RU,45.64,clear sky,56.45,138.1667,Ayan
687,Nanyang,CN,56.97,overcast clouds,32.9947,112.5328,Nanyang
691,Norfolk,US,56.3,moderate rain,42.1668,-71.2495,Norwood
694,Hanzhong,CN,56.44,overcast clouds,33.0728,107.0303,Hanzhong
695,Mporokoso,ZM,73.56,few clouds,-9.3727,30.125,Mporokoso
698,Baghdad,IQ,73.31,clear sky,33.3406,44.4009,Baghdad
701,Gaillac,FR,54.91,broken clouds,43.9016,1.8969,Gaillac
702,Neijiang,CN,70.0,overcast clouds,29.5835,105.0622,Neijiang
705,Kambove,CD,68.95,overcast clouds,-10.8764,26.5969,Kambove
707,Taihe,CN,65.44,overcast clouds,30.8712,105.3845,Suining
708,Songjianghe,CN,45.16,overcast clouds,42.1859,127.479,Baishan
710,Ngaoundere,CM,65.86,broken clouds,7.3167,13.5833,Ngaoundere
711,Tarime,TZ,73.45,overcast clouds,-1.35,34.3667,Tarime
712,Tromso,NO,51.82,light rain,69.6496,18.957,Tromsø
